TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer
241,2006,276.32140086832277,To Kwa Wan,22.3172,114.1876,0,False,Very Close (<500m),True,True,True
227,2006,477.82400563045917,Yau Ma Tei,22.3129,114.1707,0,False,Very Close (<500m),True,True,True
625,2006,688.7196397528306,Fanling,22.490627,114.139289,0,False,Close (500-1000m),False,True,True
726,2006,267.2555396388387,Tai Wo,22.4511,114.1611,0,False,Very Close (<500m),True,True,True
271,2006,280.6412192382802,Kowloon Tong,22.336809,114.177245,0,False,Very Close (<500m),True,True,True
288,2006,717.0781227659994,Diamond Hill,22.339189,114.202382,0,False,Close (500-1000m),False,True,True
424,2006,498.0529360678334,Tuen Mun,22.394156,113.973948,0,False,Very Close (<500m),True,True,True
285,2006,417.45947219941615,Sung Wong Toi,22.326139,114.190407,0,False,Very Close (<500m),True,True,True
266,2006,154.8391033467524,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
726,2006,899.4546258091331,Tai Po Market,22.4446,114.1706,0,False,Close (500-1000m),False,True,True
222,2006,420.40676143514554,Mong Kok East,22.3222,114.1728,0,False,Very Close (<500m),True,True,True
242,2006,182.79528556663806,To Kwa Wan,22.3172,114.1876,0,False,Very Close (<500m),True,True,True
246,2006,145.45828375152635,Sung Wong Toi,22.326139,114.190407,0,False,Very Close (<500m),True,True,True
212,2006,454.2471395370108,Jordan,22.3049,114.1718,0,False,Very Close (<500m),True,True,True
726,2006,602.9069695563726,Tai Wo,22.4511,114.1611,0,False,Close (500-1000m),False,True,True
221,2006,448.6412963907272,Prince Edward,22.3245,114.1683,0,False,Very Close (<500m),True,True,True
214,2006,21.277660256200395,East Tsim Sha Tsui,22.295195,114.174446,1,True,Very Close (<500m),True,True,True
212,2006,226.2533914952941,Jordan,22.3049,114.1718,0,False,Very Close (<500m),True,True,True
243,2006,207.33030740261714,Whampoa,22.305852,114.188799,0,False,Very Close (<500m),True,True,True
290,2006,749.2171883091056,Lam Tin,22.305367,114.234261,0,False,Close (500-1000m),False,True,True
271,2006,967.4972000058282,Sung Wong Toi,22.326139,114.190407,0,False,Close (500-1000m),False,True,True
268,2006,481.7849278432582,Shek Kip Mei,22.332,114.1687,0,False,Very Close (<500m),True,True,True
271,2006,784.4763035919801,Sung Wong Toi,22.326139,114.190407,0,False,Close (500-1000m),False,True,True
284,2006,236.6924530170923,Diamond Hill,22.339189,114.202382,0,False,Very Close (<500m),True,True,True
284,2006,412.5342526000906,Diamond Hill,22.339189,114.202382,0,False,Very Close (<500m),True,True,True
212,2006,300.2407874018629,Jordan,22.3049,114.1718,0,False,Very Close (<500m),True,True,True
229,2006,452.84164654438933,Yau Ma Tei,22.3129,114.1707,0,False,Very Close (<500m),True,True,True
285,2006,599.9267136117245,Sung Wong Toi,22.326139,114.190407,0,False,Close (500-1000m),True,True,True
253,2006,601.6194515399886,Olympic,22.3178,114.1602,0,False,Close (500-1000m),False,True,True
268,2006,380.41903230643425,Shek Kip Mei,22.332,114.1687,0,False,Very Close (<500m),True,True,True
723,2006,563.4823489238698,Tai Po Market,22.4446,114.1706,0,False,Close (500-1000m),True,True,True
267,2006,335.8050229985015,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
227,2006,351.45109404378417,Mong Kok,22.321624,114.172537,0,False,Very Close (<500m),True,True,True
326,2006,364.71678927916054,Tai Wo Hau,22.371129,114.126303,0,False,Very Close (<500m),True,True,True
291,2006,444.7733070541496,Kowloon Bay,22.3235,114.2141,0,False,Very Close (<500m),True,True,True
235,2006,563.9164092485445,Yau Ma Tei,22.3129,114.1707,0,False,Close (500-1000m),False,True,True
423,2006,328.11843934715216,Tuen Mun,22.394156,113.973948,0,False,Very Close (<500m),True,True,True
268,2006,644.3777241021597,Shek Kip Mei,22.332,114.1687,0,False,Close (500-1000m),False,True,True
271,2006,198.32416286828305,Kowloon Tong,22.336809,114.177245,0,False,Very Close (<500m),True,True,True
212,2006,312.59433204778645,Tsim Sha Tsui,22.2973,114.1722,0,False,Very Close (<500m),True,True,True
268,2006,570.6705637280444,Shek Kip Mei,22.332,114.1687,0,False,Close (500-1000m),True,True,True
211,2006,238.268237164366,Tsim Sha Tsui,22.2973,114.1722,0,False,Very Close (<500m),True,True,True
335,2006,4905.502818319914,Sunny Bay,22.33285,114.028222,0,False,Far (>2km),False,False,False
521,2006,713.5721254434625,Kam Sheung Road,22.4348,114.0634,0,False,Close (500-1000m),False,True,True
241,2006,352.3854931719467,Sung Wong Toi,22.326139,114.190407,0,False,Very Close (<500m),True,True,True
284,2006,577.6973316578035,Kai Tak,22.3304,114.1994,0,False,Close (500-1000m),True,True,True
265,2006,331.3048075794443,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
423,2006,474.65890463741306,Tuen Mun,22.394156,113.973948,0,False,Very Close (<500m),True,True,True
221,2006,449.0289745611382,Prince Edward,22.3245,114.1683,0,False,Very Close (<500m),True,True,True
