Year,New_Town,DCCA_Code,DCCA_English,DCCA_Chinese,District
2006,Kwai Chung,3115.0,Kwai Tsing - Hing Fong,葵青 - 興芳,Kwai Tsing
2006,Kwai Chung,3116.0,Kwai Tsing - Lai King,葵青 - 荔景,Kwai Tsing
2006,Kwai Chung,3117.0,Kwai Tsing - Kwai Shing West Estate,葵青 - 葵盛西邨,Kwai Tsing
2006,Kwai Chung,3125.0,Kwai Tsing - Tsing Yi South,葵青 - 青衣南,Kwai Tsing
2006,Kwai Chung,3202.0,Tsuen Wan - Yeung Uk Road,荃灣 - 楊屋道,Tsuen Wan
2006,Kwai Chung,3203.0,Tsuen Wan - Hoi Bun,荃灣 - 海濱,Tsuen Wan
2006,Kwai Chung,3213.0,Tsuen Wan - Luk Yeung,荃灣 - 綠楊,Tsuen Wan
2006,Kwai Chung,3214.0,Tsuen Wan - Lei Muk Shue East,荃灣 - 梨木樹東,Tsuen Wan
2006,Kwai Chung,3215.0,Tsuen Wan - Lei Muk Shue West,荃灣 - 梨木樹西,Tsuen Wan
2006,Kwai Chung,3216.0,Tsuen Wan - Shek Wai Kok,荃灣 - 石圍角,Tsuen Wan
2006,Kwai Chung,3714.0,Sha Tin - Mei Tin,沙田 - 美田,Sha Tin
2006,Kwai Chung,3719.0,Sha Tin - Chung Shing,沙田 - 松城,Sha Tin
2006,Tuen Mun,3211.0,Tsuen Wan - Tsuen Wan Rural West,荃灣 - 荃灣郊區西,Tsuen Wan
2006,Tuen Mun,3301.0,Tuen Mun - Tuen Mun Town Centre,屯門 - 屯門市中心,Tuen Mun
2006,Tuen Mun,3302.0,Tuen Mun - Siu Chi,屯門 - 兆置,Tuen Mun
2006,Tuen Mun,3303.0,Tuen Mun - Siu Tsui,屯門 - 兆翠,Tuen Mun
2006,Tuen Mun,3304.0,Tuen Mun - On Ting,屯門 - 安定,Tuen Mun
2006,Tuen Mun,3305.0,Tuen Mun - Yau Oi South,屯門 - 友愛南,Tuen Mun
2006,Tuen Mun,3306.0,Tuen Mun - Yau Oi North,屯門 - 友愛北,Tuen Mun
2006,Tuen Mun,3307.0,Tuen Mun - Tsui Hing,屯門 - 翠興,Tuen Mun
2006,Tuen Mun,3308.0,Tuen Mun - Shan King,屯門 - 山景,Tuen Mun
2006,Tuen Mun,3309.0,Tuen Mun - King Hing,屯門 - 景興,Tuen Mun
2006,Tuen Mun,3310.0,Tuen Mun - Hing Tsak,屯門 - 興澤,Tuen Mun
2006,Tuen Mun,3311.0,Tuen Mun - San Hui,屯門 - 新墟,Tuen Mun
2006,Tuen Mun,3312.0,Tuen Mun - Sam Shing,屯門 - 三聖,Tuen Mun
2006,Tuen Mun,3313.0,Tuen Mun - Hanford,屯門 - 恆福,Tuen Mun
2006,Tuen Mun,3314.0,Tuen Mun - Siu Sun,屯門 - 兆新,Tuen Mun
2006,Tuen Mun,3315.0,Tuen Mun - Yuet Wu,屯門 - 悅湖,Tuen Mun
2006,Tuen Mun,3316.0,Tuen Mun - Siu Hei,屯門 - 兆禧,Tuen Mun
2006,Tuen Mun,3317.0,Tuen Mun - Wu King,屯門 - 湖景,Tuen Mun
2006,Tuen Mun,3318.0,Tuen Mun - Butterfly,屯門 - 蝴蝶,Tuen Mun
2006,Tuen Mun,3319.0,Tuen Mun - Lok Tsui,屯門 - 樂翠,Tuen Mun
2006,Tuen Mun,3320.0,Tuen Mun - Lung Mun,屯門 - 龍門,Tuen Mun
2006,Tuen Mun,3321.0,Tuen Mun - San King,屯門 - 新景,Tuen Mun
2006,Tuen Mun,3322.0,Tuen Mun - Leung King,屯門 - 良景,Tuen Mun
2006,Tuen Mun,3323.0,Tuen Mun - Tin King,屯門 - 田景,Tuen Mun
2006,Tuen Mun,3324.0,Tuen Mun - Po Tin,屯門 - 寶田,Tuen Mun
2006,Tuen Mun,3325.0,Tuen Mun - Kin Sang,屯門 - 建生,Tuen Mun
2006,Tuen Mun,3326.0,Tuen Mun - Siu Hong,屯門 - 兆康,Tuen Mun
2006,Tuen Mun,3327.0,Tuen Mun - Prime View,屯門 - 景峰,Tuen Mun
2006,Tuen Mun,3328.0,Tuen Mun - Fu Tai,屯門 - 富泰,Tuen Mun
2006,Tuen Mun,3329.0,Tuen Mun - Tuen Mun Rural,屯門 - 屯門鄉郊,Tuen Mun
2006,Tuen Mun,3408.0,Yuen Long - Shap Pat Heung South,元朗 - 十八鄉南,Yuen Long
2006,Tuen Mun,3409.0,Yuen Long - Ping Shan South,元朗 - 屏山南,Yuen Long
2006,Tuen Mun,3411.0,Yuen Long - Ha Tsuen,元朗 - 廈村,Yuen Long
